"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Belarus","BLR","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.46535","20.0981","19.58642","19.76087","","","19.26959","19.5328502655029","18.2068004608154","17.4386291503906","16.6611194610596","15.9386196136475","15.4426603317261","16.035530090332","16.0240497589111","15.9670095443726","15.3271903991699","15.1409101486206","14.9661598205566","14.9636697769165","14.9090900421143","15.3621597290039","","",
"Belize","BLZ","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5","23.3149394989014","22.8169403076172","","20.750659942627","23.2318592071533","23.6234092712402","22.9385299682617","22.8827209472656","22.6159191131592","22.6361293792725","22.2433490753174","21.8992099761963","21.5627498626709","22.5732097625732","","",
"Bermuda","BMU","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","23.41935","21.34986","20.89831","20.7659","21.28923","","17.68449","20.26959","22.75191","22.84733","19.01923","18.03988","17.85714","17.5","17.46926","","","","","","","","","","12.87689","","12.30753","","","","9.25187015533447","8.9598503112793","8.90328025817871","8.58928966522217","8.33625030517578","8.25043964385986","","","","7.35691022872925","8.94443988800049","9.82750988006592","7.1937198638916","","",
"Bolivia","BOL","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.7237205505371","25.0654907226563","25.7600803375244","23.6679706573486","23.9277191162109","","","","24.2191600799561","","","","","","","","",
"Brazil","BRA","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","28.01019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9451103210449","24.796989440918","22.9708690643311","22.3533096313477","21.5675296783447","21.3867607116699","21.0436496734619","","23.8582801818848","23.0246696472168","22.6441097259521","22.1660900115967","21.2850704193115","20.5171203613281","21.2274894714355","","",
"Barbados","BRB","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","27.97392","27.38779","","","","20.33311","23.46773","21.22519","","","","18.38658","17.80025","","17.16806","","","","","","","17.7720394134521","17.5699901580811","17.0358600616455","15.9034700393677","15.8041095733643","15.7676601409912","15.1456804275513","","14.5421800613403","13.4564199447632","14.1424999237061","13.0074596405029","13.0866298675537","","","","",
"Brunei Darussalam","BRN","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","23.47983","21.11807","20.73884","20.15193","19.41098","19.03224","18.35855","18.27825","16.55962","18.06518","18.26032","17.59833","16.4753","16.00146","14.74603","16.08083","16.62157","","13.99853","14.02604","","15.30987","15.53378","15.54573","15.24892","14.59371","","","14.01143","13.9631299972534","13.6666698455811","13.6379499435425","12.6928701400757","12.2495403289795","10.8801298141479","10.1169700622559","12.5131702423096","12.6714401245117","12.5521602630615","11.949990272522","11.348819732666","11.3356599807739","10.5876703262329","10.1519498825073","","",
"Bhutan","BTN","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","20.73165","20.2256","22.13889","","23.81041","","","24.34799","24.07248","25.24861","","","35.62286","35.45159","38.53351","","37.46026","37.1588","36.57634","","","28.62796","","30.53954","","35.49207","","","39.27845","41.7040100097656","41.1469993591309","39.4825401306152","","","","31.0515098571777","29.1821308135986","","29.8789100646973","27.7022094726563","25.8960609436035","25.3784503936768","23.9859008789063","","","",
"Botswana","BWA","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","36.4844","32.62978","33.10174","35.40067","34.03709","33.14135","32.02958","30.54283","31.34217","32.2155","32.33898","31.64659","32.43714","31.18365","30.87607","32.03553","32.21477","32.2979","32.24975","32.29417","31.65654","30.38869","28.81411","27.29929","26.43662","25.49106","","28.13585","27.56744","26.9853591918945","26.7229499816895","26.6330604553223","26.4013195037842","26.0590000152588","25.8466606140137","25.5503692626953","25.3932495117188","25.2226505279541","25.084939956665","25.4168605804443","","","23.4158401489258","","","",
"Central African Republic","CAF","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","63.6922","65.94065","65.42896","65.01622","68.3403","66.51607","66.89929","64.6626","61.83406","60.70299","59.6063","60.58007","62.1258","68.28585","","65.6329","60.33869","62.77055","70.38736","90.38285","77.02522","","","","","","","","","","","","","","88.6269073486328","","","100.236488342285","94.6125717163086","84.3202667236328","81.3105087280273","80.1157608032227","","","",
